Departure City,Arrival City,Departure Date,Flight Duration,Delay Minutes,Customer ID,Name,Booking Class,Frequent Flyer Status,Route,Ticket Price,Competitor Price,Demand,Origin,Destination,Profitability,Loyalty Points,Churned
Coryton,Hillport,2023-05-28 14:36:55,0.7211102550927978,8,4410,Peter Simmons,Business,Platinum,SYD-MEL,436.3803540247332,348.7170498916676,-0.30169502122164,SYD,LAX,1.4503839154760367,4840,True
Josephview,Port Garyport,2023-04-21 18:22:53,-0.3882901373576605,108,7739,Christopher Meyer,Business,Gold,SYD-MEL,304.8739395038048,450.6767729109565,1.5672121898858635,SYD,LAX,1.0947420145553646,1486,False
Hardyberg,Valenciachester,2023-05-17 06:51:20,-1.497690529808119,61,6803,Barry Jones,Business,Platinum,SYD-MEL,456.7009265216652,186.93681016803487,-1.3696419989973565,SYD,LHR,0.9000532798446004,1659,True
Port Sheenatown,East Melissa,2023-06-04 08:10:31,1.2758104513180268,10,8333,Matthew Mcbride,Business,Gold,MEL-BNE,490.7024599388879,160.69454817864056,1.2516824009975838,BNE,SIN,1.452347601116101,4434,True
Michaelbury,Nelsonstad,2023-05-01 01:09:21,-1.497690529808119,75,8457,Eric Lloyd,Business,Gold,BNE-SYD,475.267275684934,232.37179448991543,0.8876095676649531,BNE,LHR,0.9525073995507805,1527,False
East Erica,South Allenbury,2023-04-18 11:47:03,1.2758104513180268,71,3432,Brandon Schneider,Business,Silver,MEL-BNE,258.60207469581644,113.75816226939172,-0.5444102434433937,BNE,SIN,0.5265494137408564,1417,False
South Bryan,Port Robert,2023-05-01 18:34:25,-1.497690529808119,70,3099,Eric Johnston,First,Platinum,SYD-MEL,254.1411727260279,204.9711424464796,0.4021791232214457,MEL,LHR,1.1443702825809643,1510,True
Brianshire,West Alexis,2023-04-26 09:52:36,1.2758104513180268,34,7057,Cheryl Lopez,First,Platinum,SYD-MEL,498.5493692899824,245.2762770475737,1.6157552343302142,SYD,LHR,0.5327797032105799,4654,True
South Brittany,Fitzgeraldbury,2023-05-21 14:06:26,-1.497690529808119,42,9409,Willie Ferguson,Business,Gold,SYD-MEL,488.5411548568536,233.6708043902247,1.858470456551968,BNE,SIN,0.9019944692517772,1133,False
North Evelynland,Lucasstad,2023-06-16 21:25:28,-0.9429903335828896,9,3464,Sarah Norton,Economy,Silver,MEL-BNE,292.56250968585005,344.132374579209,1.2274108787754083,BNE,LHR,1.0614987556856827,2811,False
Thomasshire,Freemanfort,2023-05-23 16:11:47,-0.3882901373576605,29,9271,Jorge Mckinney,First,Gold,BNE-SYD,355.9407652910711,410.4935245122312,0.3779076009992703,BNE,LAX,1.319465428591419,3814,False
North Karenstad,Ashleyburgh,2023-04-29 16:55:10,-1.497690529808119,28,5152,Lauren Hanson,Business,Gold,SYD-MEL,404.8063699648762,391.2979391216573,-0.8356685101094982,BNE,LAX,0.94301911390516,329,True
Lindseyton,Lake Jesus,2023-06-02 12:29:21,-0.9429903335828896,74,1735,Charles Lutz,Economy,Platinum,BNE-SYD,324.02899067746205,453.4257059998522,0.0623778121109905,MEL,LHR,1.202636269213951,3361,True
New Guymouth,Jonesborough,2023-06-12 07:56:10,0.1664100588675686,48,2957,Rhonda Johnson,Economy,Gold,BNE-SYD,116.49024550817217,419.32637210284736,1.5672121898858635,BNE,LHR,0.8900942186671619,4764,False
Wileyland,East Alyssa,2023-04-25 21:17:18,-1.497690529808119,69,9523,Miss Jessica Sharp,First,Gold,BNE-SYD,422.65107742159273,239.87044250308105,1.6885698009967405,BNE,LAX,0.8866927019375881,1327,False
North Gregorymouth,Christinaville,2023-04-26 09:13:28,-0.3882901373576605,117,3236,Amanda Harris,Business,Platinum,MEL-BNE,131.7929267130026,473.96436538662,0.1109208565553412,MEL,SIN,1.4398999086980984,1221,True
New Ashley,West Victoriaside,2023-05-25 09:33:02,1.2758104513180268,96,6638,Mary Barber,Economy,Gold,MEL-BNE,141.5580892547419,241.6138149134044,-0.8113969878873228,MEL,LHR,1.1800481982928253,2662,True
Samanthaport,Jeremyport,2023-04-18 03:26:28,-0.3882901373576605,77,9245,Keith Strickland,First,Gold,SYD-MEL,218.74617138624257,167.7340249492952,-0.0589797989998863,MEL,LHR,1.0011889769829367,3106,True
South Kimberlyland,North William,2023-05-29 14:50:53,-0.9429903335828896,29,5465,Timothy Myers,Economy,Silver,BNE-SYD,302.6711361622137,116.2543509980829,1.9070135009963187,SYD,SIN,1.4374363972921662,4295,True
Port Michellefort,East Davidbury,2023-06-06 20:04:42,0.1664100588675686,105,7461,Maxwell Cruz,Business,Platinum,SYD-MEL,487.3546641727106,241.26314273074053,-0.3987811101103415,MEL,LAX,1.4586674220166378,4161,False
West Vincentchester,North Stevenhaven,2023-05-06 12:36:14,-0.3882901373576605,57,3708,Michael Dixon,Business,Platinum,BNE-SYD,150.27772404382426,253.9824241200735,1.470126100997162,MEL,LHR,1.4925051350807657,3832,False
Jonesside,Cookshire,2023-06-16 01:08:38,0.1664100588675686,28,8855,Darren Garcia,Business,Platinum,SYD-MEL,375.90340167648935,437.5955451322053,-0.7628539434429721,SYD,SIN,0.8380430662575123,1746,False
Lake Alexandrashire,Stephaniefort,2023-06-03 05:48:06,0.7211102550927978,47,8228,Teresa Smith,Economy,Silver,SYD-MEL,177.82751318129866,101.77176011562644,0.4021791232214457,MEL,LHR,1.2888073948545156,4329,True
Brittneychester,South Patricia,2023-06-07 01:09:54,-1.497690529808119,15,6848,Brittney Swanson,Economy,Silver,SYD-MEL,210.23619324150744,275.9633902851002,0.2080069454440427,BNE,LAX,1.127111835679501,3522,True
South Staceyhaven,West Kenneth,2023-05-19 23:13:31,-1.497690529808119,84,3724,Jessica Johnson,Business,Gold,BNE-SYD,184.33018886973588,246.36870300501275,-0.5201387212212184,BNE,SIN,0.5690167273998343,3244,True
Arnoldtown,Morriston,2023-05-22 11:51:34,0.1664100588675686,8,8395,Amber Mcclure,First,Gold,SYD-MEL,464.282801476821,199.54944948503115,-0.9812976434425504,SYD,LAX,0.5313385839378845,1484,True
Murrayhaven,Lake Jennifermouth,2023-05-27 21:15:35,-0.9429903335828896,7,4142,Lisa Luna,First,Gold,BNE-SYD,457.453579429197,280.3917205822792,0.741980434331901,SYD,LHR,1.483030310651702,1328,True
Butlerside,East Morganburgh,2023-06-03 14:46:08,0.7211102550927978,1,1017,Jeffrey Turner,Business,Platinum,MEL-BNE,168.62977429261156,425.6054402332175,0.0866493343331659,SYD,SIN,0.9084962040250028,4950,False
